❯ k get svc -A
NAMESPACE                                  NAME                                                              TYPE           CLUSTER-IP       EXTERNAL-IP                                  PORT(S)                                                                            AGE
metallb-system                             metallb-system-speaker-monitor-service                            ClusterIP      None             <none>                                       7472/TCP                                                                           167d
metallb-system                             metallb-webhook-service                                           ClusterIP      10.98.106.185    <none>                                       443/TCP                                                                            482d
monitoring-system-dev                      grafana                                                           ClusterIP      10.110.106.162   <none>                                       80/TCP                                                                             645d
monitoring-system-dev                      grafana-image-renderer                                            ClusterIP      10.102.237.5     <none>                                       8081/TCP                                                                           645d
monitoring-system-dev                      influxdb-dev                                                      ClusterIP      10.97.222.252    <none>                                       8086/TCP                                                                           552d
monitoring-system-dev                      influxdb-dev-metallb                                              LoadBalancer   10.108.236.248   172.24.5.159                                 8086/TCP                                                                           552d
monitoring-system                          ceph-sdfdirect                                                    ClusterIP      10.98.39.87      <none>                                       80/TCP                                                                             2y98d
monitoring-system                          ceph-sdfemb1                                                      ClusterIP      10.105.65.130    <none>                                       80/TCP                                                                             616d
monitoring-system                          ceph-sdfemb2                                                      ClusterIP      10.98.49.210     <none>                                       80/TCP                                                                             616d
monitoring-system                          ceph-sdfemb3                                                      ClusterIP      10.107.29.183    <none>                                       80/TCP                                                                             50d
monitoring-system                          ceph-sdftier                                                      ClusterIP      10.96.38.165     <none>                                       80/TCP                                                                             2y95d
monitoring-system                          cnpg-grafana2-r                                                   ClusterIP      10.99.136.137    <none>                                       5432/TCP                                                                           484d
monitoring-system                          cnpg-grafana2-ro                                                  ClusterIP      10.104.227.13    <none>                                       5432/TCP                                                                           484d
monitoring-system                          cnpg-grafana2-rw                                                  ClusterIP      10.110.215.209   <none>                                       5432/TCP                                                                           484d
monitoring-system                          grafana                                                           ClusterIP      10.106.87.83     <none>                                       80/TCP                                                                             3y303d
monitoring-system                          grafana-image-renderer                                            ClusterIP      10.100.238.157   <none>                                       8081/TCP                                                                           3y270d
monitoring-system                          influxdb                                                          ClusterIP      10.108.94.33     <none>                                       8086/TCP                                                                           3y307d
monitoring-system                          influxdb-metallb                                                  LoadBalancer   10.111.230.229   172.24.5.203                                 8086:30246/TCP                                                                     3y303d
monitoring-system                          k8s-ephemeral-storage-metrics                                     ClusterIP      10.110.220.182   <none>                                       9100/TCP                                                                           600d
monitoring-system                          nmap-exporter-ldap                                                ClusterIP      10.96.186.249    <none>                                       8000/TCP                                                                           622d
monitoring-system                          nmap-exporter-ldap-tls                                            ClusterIP      10.110.225.123   <none>                                       8000/TCP                                                                           489d
monitoring-system                          nmap-exporter-rubin-databases                                     ClusterIP      10.99.44.73      <none>                                       8000/TCP                                                                           622d
monitoring-system                          nmap-exporter-rubin-grid                                          ClusterIP      10.104.69.35     <none>                                       8000/TCP                                                                           622d
monitoring-system                          nmap-exporter-rubin-kafka                                         ClusterIP      10.105.232.84    <none>                                       8000/TCP                                                                           622d
monitoring-system                          nmap-exporter-rubin-services                                      ClusterIP      10.105.122.218   <none>                                       8000/TCP                                                                           617d
monitoring-system                          nmap-exporter-s3df-dtn                                            ClusterIP      10.105.3.202     <none>                                       8000/TCP                                                                           222d
monitoring-system                          nmap-exporter-s3df-interactive                                    ClusterIP      10.100.37.91     <none>                                       8000/TCP                                                                           622d
monitoring-system                          nmap-exporter-s3df-services                                       ClusterIP      10.100.54.240    <none>                                       8000/TCP                                                                           622d
monitoring-system                          nmap-exporter-s3df-squid                                          ClusterIP      10.104.250.69    <none>                                       8000/TCP                                                                           617d
monitoring-system                          nmap-exporter-s3df-subnets                                        ClusterIP      10.106.108.10    <none>                                       8000/TCP                                                                           615d
monitoring-system                          nmap-exporter-storage-ceph                                        ClusterIP      10.109.232.58    <none>                                       8000/TCP                                                                           622d
monitoring-system                          sdf-ad-loki-http                                                  LoadBalancer   10.104.71.39     172.24.8.132                                 8080/TCP                                                                           729d
monitoring-system                          sdf-k8s01-loki-distributed-compactor                              ClusterIP      10.104.123.90    <none>                                       3100/TCP,9095/TCP                                                                  576d
monitoring-system                          sdf-k8s01-loki-distributed-distributor                            ClusterIP      10.110.160.192   <none>                                       3100/TCP,9095/TCP                                                                  3y96d
monitoring-system                          sdf-k8s01-loki-distributed-gateway                                ClusterIP      10.101.251.40    <none>                                       80/TCP                                                                             3y96d
monitoring-system                          sdf-k8s01-loki-distributed-index-gateway                          ClusterIP      10.108.211.186   <none>                                       3100/TCP,9095/TCP                                                                  665d
monitoring-system                          sdf-k8s01-loki-distributed-index-gateway-headless                 ClusterIP      None             <none>                                       3100/TCP,9095/TCP                                                                  665d
monitoring-system                          sdf-k8s01-loki-distributed-ingester                               ClusterIP      10.108.61.244    <none>                                       3100/TCP,9095/TCP                                                                  3y96d
monitoring-system                          sdf-k8s01-loki-distributed-ingester-headless                      ClusterIP      None             <none>                                       3100/TCP,9095/TCP                                                                  3y96d
monitoring-system                          sdf-k8s01-loki-distributed-memberlist                             ClusterIP      None             <none>                                       7946/TCP                                                                           3y96d
monitoring-system                          sdf-k8s01-loki-distributed-memcached-chunks                       ClusterIP      None             <none>                                       11211/TCP,9150/TCP                                                                 577d
monitoring-system                          sdf-k8s01-loki-distributed-memcached-frontend                     ClusterIP      None             <none>                                       11211/TCP,9150/TCP                                                                 665d
monitoring-system                          sdf-k8s01-loki-distributed-memcached-index-queries                ClusterIP      None             <none>                                       11211/TCP,9150/TCP                                                                 577d
monitoring-system                          sdf-k8s01-loki-distributed-memcached-index-writes                 ClusterIP      None             <none>                                       11211/TCP,9150/TCP                                                                 665d
monitoring-system                          sdf-k8s01-loki-distributed-querier                                ClusterIP      10.96.226.80     <none>                                       3100/TCP,9095/TCP                                                                  3y96d
monitoring-system                          sdf-k8s01-loki-distributed-querier-headless                       ClusterIP      None             <none>                                       3100/TCP,9095/TCP                                                                  3y96d
monitoring-system                          sdf-k8s01-loki-distributed-query-frontend                         ClusterIP      None             <none>                                       3100/TCP,9095/TCP,9096/TCP                                                         3y96d
monitoring-system                          sdf-k8s01-loki-distributed-query-frontend-headless                ClusterIP      None             <none>                                       3100/TCP,9095/TCP,9096/TCP                                                         2y342d
monitoring-system                          sdf-k8s01-loki-distributed-query-scheduler                        ClusterIP      None             <none>                                       3100/TCP,9095/TCP                                                                  577d
monitoring-system                          sdf-k8s01-loki-distributed-ruler                                  ClusterIP      None             <none>                                       3100/TCP,9095/TCP                                                                  568d
monitoring-system                          sdf-k8s01-loki-distributed-table-manager                          ClusterIP      10.100.102.202   <none>                                       3100/TCP,9095/TCP                                                                  577d
