❯ k get svc -A
NAMESPACE                                  NAME                                                              TYPE           CLUSTER-IP       EXTERNAL-IP                                  PORT(S)                                                                            AGE
vcluster--acs-nalms                        vcluster--acs-nalms-node-sdfk8sc025                               ClusterIP      10.107.237.207   <none>                                       10250/TCP                                                                          8h
vcluster--acs-nalms                        vcluster--acs-nalms-node-sdfk8sc035                               ClusterIP      10.102.14.8      <none>                                       10250/TCP                                                                          65d
vcluster--acs-nalms                        vcluster--acs-nalms-node-sdfk8sc040                               ClusterIP      10.103.34.182    <none>                                       10250/TCP                                                                          50d
vcluster--acs-nalms                        vcluster--acs-nalms-node-sdfk8sc041                               ClusterIP      10.107.125.71    <none>                                       10250/TCP                                                                          64d
vcluster--acs-nalms                        vcluster--acs-nalms-node-sdfk8sc044                               ClusterIP      10.96.33.17      <none>                                       10250/TCP                                                                          64d
vcluster--acs-nalms                        vcluster--acs-nalms-node-sdfk8sc047                               ClusterIP      10.110.92.51     <none>                                       10250/TCP                                                                          34d
vcluster--acs-nalms                        vcluster--acs-nalms-node-sdfk8sc050                               ClusterIP      10.96.200.162    <none>                                       10250/TCP                                                                          6h12m
vcluster--ad-accel-online-ml-dev           argocd-applicationset-controller-x-argocd-x-vcluster-6957f89cb6   ClusterIP      10.110.142.187   <none>                                       7000/TCP                                                                           56d
vcluster--ad-accel-online-ml-dev           argocd-dex-server-x-argocd-x-vcluster--ad-accel-online-ml-dev     ClusterIP      10.110.183.76    <none>                                       5556/TCP,5557/TCP                                                                  56d
vcluster--ad-accel-online-ml-dev           argocd-redis-x-argocd-x-vcluster--ad-accel-online-ml-dev          ClusterIP      10.108.89.202    <none>                                       6379/TCP                                                                           56d
vcluster--ad-accel-online-ml-dev           argocd-repo-server-x-argocd-x-vcluster--ad-accel-online-ml-dev    ClusterIP      10.108.202.125   <none>                                       8081/TCP                                                                           56d
vcluster--ad-accel-online-ml-dev           argocd-server-x-argocd-x-vcluster--ad-accel-online-ml-dev         ClusterIP      10.108.231.11    <none>                                       80/TCP,443/TCP                                                                     56d
vcluster--ad-accel-online-ml-dev           cert-manager-cainjector-x-cert-manager-x-vcluster--a-7883bd4ceb   ClusterIP      10.100.33.56     <none>                                       9402/TCP                                                                           108m
vcluster--ad-accel-online-ml-dev           cert-manager-webhook-x-cert-manager-x-vcluster--ad-a-57592ef57e   ClusterIP      10.111.81.190    <none>                                       443/TCP,9402/TCP                                                                   108m
vcluster--ad-accel-online-ml-dev           cert-manager-x-cert-manager-x-vcluster--ad-accel-online-ml-dev    ClusterIP      10.108.166.60    <none>                                       9402/TCP                                                                           108m
vcluster--ad-accel-online-ml-dev           cnpg-webhook-service-x-cnpg-system-x-vcluster--ad-ac-6220613141   ClusterIP      10.99.222.155    <none>                                       443/TCP                                                                            71d
vcluster--ad-accel-online-ml-dev           gangway                                                           ClusterIP      10.109.110.123   <none>                                       8080/TCP                                                                           71d
vcluster--ad-accel-online-ml-dev           istiod-x-istio-system-x-vcluster--ad-accel-online-ml-dev          ClusterIP      10.107.73.85     <none>                                       15010/TCP,15012/TCP,443/TCP,15014/TCP                                              27m
vcluster--ad-accel-online-ml-dev           kube-dns-x-kube-system-x-vcluster--ad-accel-online-ml-dev         ClusterIP      10.101.81.18     <none>                                       53/UDP,53/TCP,9153/TCP                                                             71d
vcluster--ad-accel-online-ml-dev           metrics-server-x-kube-system-x-vcluster--ad-accel-online-ml-dev   ExternalName   <none>           localhost                                    9001/TCP                                                                           71d
vcluster--ad-accel-online-ml-dev           mlflow-test-cluster-psql-r-x-mlflow-test-x-vcluster--8c9067762a   ClusterIP      10.100.246.210   <none>                                       5432/TCP                                                                           60d
vcluster--ad-accel-online-ml-dev           mlflow-test-cluster-psql-ro-x-mlflow-test-x-vcluster-e7b5ca9471   ClusterIP      10.103.175.174   <none>                                       5432/TCP                                                                           60d
vcluster--ad-accel-online-ml-dev           mlflow-test-cluster-psql-rw-x-mlflow-test-x-vcluster-91c6c31d14   ClusterIP      10.99.156.251    <none>                                       5432/TCP                                                                           60d
vcluster--ad-accel-online-ml-dev           mlflow-x-mlflow-test-x-vcluster--ad-accel-online-ml-dev           LoadBalancer   10.103.113.209   172.24.8.131                                 5000/TCP                                                                           60d
vcluster--ad-accel-online-ml-dev           vault-secrets-operator-x-vault-secrets-operator-x-vc-38a27e110a   ClusterIP      10.111.79.126    <none>                                       8080/TCP,8081/TCP                                                                  71d
vcluster--ad-accel-online-ml-dev           vcluster--ad-accel-online-ml-dev                                  ClusterIP      10.109.13.171    <none>                                       443/TCP,10250/TCP                                                                  71d
vcluster--ad-accel-online-ml-dev           vcluster--ad-accel-online-ml-dev-etcd                             ClusterIP      10.111.147.82    <none>                                       2379/TCP,2380/TCP                                                                  71d
vcluster--ad-accel-online-ml-dev           vcluster--ad-accel-online-ml-dev-etcd-headless                    ClusterIP      None             <none>                                       2379/TCP,2380/TCP                                                                  71d
vcluster--ad-accel-online-ml-dev           vcluster--ad-accel-online-ml-dev-node-sdfk8sc009                  ClusterIP      10.111.196.93    <none>                                       10250/TCP                                                                          9h
vcluster--ad-accel-online-ml-dev           vcluster--ad-accel-online-ml-dev-node-sdfk8sc014                  ClusterIP      10.96.52.168     <none>                                       10250/TCP                                                                          9h
vcluster--ad-accel-online-ml-dev           vcluster--ad-accel-online-ml-dev-node-sdfk8sc019                  ClusterIP      10.104.89.232    <none>                                       10250/TCP                                                                          8h
vcluster--ad-accel-online-ml-dev           vcluster--ad-accel-online-ml-dev-node-sdfk8sc024                  ClusterIP      10.106.215.23    <none>                                       10250/TCP                                                                          8h
vcluster--ad-accel-online-ml-dev           vcluster--ad-accel-online-ml-dev-node-sdfk8sc026                  ClusterIP      10.98.179.155    <none>                                       10250/TCP                                                                          56d
vcluster--ad-accel-online-ml-dev           vcluster--ad-accel-online-ml-dev-node-sdfk8sc027                  ClusterIP      10.96.69.138     <none>                                       10250/TCP                                                                          34d
vcluster--ad-accel-online-ml-dev           vcluster--ad-accel-online-ml-dev-node-sdfk8sc029                  ClusterIP      10.99.200.51     <none>                                       10250/TCP                                                                          33d
vcluster--ad-accel-online-ml-dev           vcluster--ad-accel-online-ml-dev-node-sdfk8sc035                  ClusterIP      10.97.80.147     <none>                                       10250/TCP                                                                          60d
vcluster--ad-accel-online-ml-dev           vcluster--ad-accel-online-ml-dev-node-sdfk8sc037                  ClusterIP      10.103.61.121    <none>                                       10250/TCP                                                                          50d
vcluster--ad-accel-online-ml-dev           vcluster--ad-accel-online-ml-dev-node-sdfk8sc038                  ClusterIP      10.99.179.127    <none>                                       10250/TCP                                                                          34d
vcluster--ad-accel-online-ml-dev           vcluster--ad-accel-online-ml-dev-node-sdfk8sc049                  ClusterIP      10.107.118.120   <none>                                       10250/TCP                                                                          126m
vcluster--ad-accel-online-ml               argocd-applicationset-controller-x-argocd-x-vcluster-8cee4abda0   ClusterIP      10.97.73.62      <none>                                       7000/TCP                                                                           72d
vcluster--ad-accel-online-ml               argocd-dex-server-x-argocd-x-vcluster--ad-accel-online-ml         ClusterIP      10.108.50.124    <none>                                       5556/TCP,5557/TCP                                                                  72d
vcluster--ad-accel-online-ml               argocd-redis-x-argocd-x-vcluster--ad-accel-online-ml              ClusterIP      10.105.127.88    <none>                                       6379/TCP                                                                           72d
vcluster--ad-accel-online-ml               argocd-repo-server-x-argocd-x-vcluster--ad-accel-online-ml        ClusterIP      10.99.152.242    <none>                                       8081/TCP                                                                           72d
vcluster--ad-accel-online-ml               argocd-server-x-argocd-x-vcluster--ad-accel-online-ml             ClusterIP      10.103.229.56    <none>                                       80/TCP,443/TCP                                                                     72d
vcluster--ad-accel-online-ml               barman-cloud-x-cnpg-system-x-vcluster--ad-accel-online-ml         ClusterIP      10.106.251.255   <none>                                       9090/TCP                                                                           86d
vcluster--ad-accel-online-ml               cert-manager-cainjector-x-cert-manager-x-vcluster--a-f32fe6b4b1   ClusterIP      10.99.220.156    <none>                                       9402/TCP                                                                           86d
vcluster--ad-accel-online-ml               cert-manager-webhook-x-cert-manager-x-vcluster--ad-a-ed0bac7464   ClusterIP      10.100.137.10    <none>                                       443/TCP                                                                            86d
vcluster--ad-accel-online-ml               cert-manager-x-cert-manager-x-vcluster--ad-accel-online-ml        ClusterIP      10.98.208.168    <none>                                       9402/TCP                                                                           86d
vcluster--ad-accel-online-ml               cnpg-webhook-service-x-cnpg-system-x-vcluster--ad-ac-fe2d3bf7e8   ClusterIP      10.104.214.42    <none>                                       443/TCP                                                                            97d
vcluster--ad-accel-online-ml               gangway                                                           ClusterIP      10.104.153.210   <none>                                       8080/TCP                                                                           2y132d
vcluster--ad-accel-online-ml               iris-model-x-test-x-vcluster--ad-accel-online-ml                  ClusterIP      10.100.29.25     <none>                                       8080/TCP                                                                           22d
vcluster--ad-accel-online-ml               kube-dns-x-kube-system-x-vcluster--ad-accel-online-ml             ClusterIP      10.103.149.128   <none>                                       53/UDP,53/TCP,9153/TCP                                                             2y132d
vcluster--ad-accel-online-ml               mailbox-service-tcp-x-server-test-x-vcluster--ad-acc-ce46c07035   LoadBalancer   10.106.62.11     <pending>                                    5075:31247/TCP                                                                     701d
vcluster--ad-accel-online-ml               mailbox-service-udp-x-server-test-x-vcluster--ad-acc-c8c6ab81d2   LoadBalancer   10.96.223.201    172.24.5.207                                 5076:32066/UDP                                                                     701d
vcluster--ad-accel-online-ml               metrics-server-x-kube-system-x-vcluster--ad-accel-online-ml       ExternalName   <none>           localhost                                    9001/TCP                                                                           217d
vcluster--ad-accel-online-ml               metrics-service-x-kube-system-x-vcluster--ad-accel-online-ml      ExternalName   <none>           localhost                                    8443/TCP                                                                           531d
vcluster--ad-accel-online-ml               mlflow-prod-cluster-psql-r-x-mlflow-prod-x-vcluster--10760c8998   ClusterIP      10.110.13.247    <none>                                       5432/TCP                                                                           47d
vcluster--ad-accel-online-ml               mlflow-prod-cluster-psql-ro-x-mlflow-prod-x-vcluster-ba31e558f0   ClusterIP      10.97.215.53     <none>                                       5432/TCP                                                                           47d
vcluster--ad-accel-online-ml               mlflow-prod-cluster-psql-rw-x-mlflow-prod-x-vcluster-de870926b3   ClusterIP      10.110.165.115   <none>                                       5432/TCP                                                                           47d
vcluster--ad-accel-online-ml               mlflow-x-mlflow-prod-x-vcluster--ad-accel-online-ml               LoadBalancer   10.106.219.29    172.24.8.154                                 5000/TCP                                                                           47d
vcluster--ad-accel-online-ml               mongo-rs0-x-resultsdb-x-vcluster--ad-accel-online-ml              ClusterIP      None             <none>                                       27017/TCP                                                                          686d
vcluster--ad-accel-online-ml               postgres-db-config-x-prefect-x-vcluster--ad-accel-online-ml       ClusterIP      None             <none>                                       <none>                                                                             622d
vcluster--ad-accel-online-ml               postgres-db-pooler-x-prefect-x-vcluster--ad-accel-online-ml       ClusterIP      10.103.131.143   <none>                                       5432/TCP                                                                           685d
vcluster--ad-accel-online-ml               postgres-db-repl-x-prefect-x-vcluster--ad-accel-online-ml         ClusterIP      10.102.242.65    <none>                                       5432/TCP                                                                           685d
vcluster--ad-accel-online-ml               postgres-db-x-prefect-x-vcluster--ad-accel-online-ml              ClusterIP      10.111.237.194   <none>                                       5432/TCP                                                                           685d
vcluster--ad-accel-online-ml               postgres-operator-x-prefect-x-vcluster--ad-accel-online-ml        ClusterIP      10.103.28.81     <none>                                       8080/TCP                                                                           685d
vcluster--ad-accel-online-ml               prefect-server-ui-x-prefect-x-vcluster--ad-accel-online-ml        ClusterIP      10.97.143.133    <none>                                       4200/TCP                                                                           727d
vcluster--ad-accel-online-ml               prefect-server-x-prefect-x-vcluster--ad-accel-online-ml           ClusterIP      10.96.84.150     <none>                                       4200/TCP                                                                           567d
vcluster--ad-accel-online-ml               vault-secrets-operator-x-vault-secrets-operator-x-vc-6e851a61a3   ClusterIP      10.108.202.159   <none>                                       8080/TCP,8081/TCP                                                                  71d
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml                                      ClusterIP      10.96.2.5        <none>                                       443/TCP,10250/TCP                                                                  2y132d
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-etcd                                 ClusterIP      10.108.94.249    <none>                                       2379/TCP,2380/TCP                                                                  2y132d
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-etcd-headless                        ClusterIP      None             <none>                                       2379/TCP,2380/TCP                                                                  2y132d
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-node-sdfk8sc004                      ClusterIP      10.103.131.115   <none>                                       10250/TCP                                                                          9h
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-node-sdfk8sc005                      ClusterIP      10.97.117.206    <none>                                       10250/TCP                                                                          9h
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-node-sdfk8sc006                      ClusterIP      10.104.70.34     <none>                                       10250/TCP                                                                          23d
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-node-sdfk8sc007                      ClusterIP      10.104.81.121    <none>                                       10250/TCP                                                                          26d
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-node-sdfk8sc008                      ClusterIP      10.102.185.169   <none>                                       10250/TCP                                                                          23d
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-node-sdfk8sc009                      ClusterIP      10.107.29.170    <none>                                       10250/TCP                                                                          9h
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-node-sdfk8sc011                      ClusterIP      10.102.88.80     <none>                                       10250/TCP                                                                          9h
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-node-sdfk8sc012                      ClusterIP      10.110.68.123    <none>                                       10250/TCP                                                                          22d
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-node-sdfk8sc014                      ClusterIP      10.97.230.109    <none>                                       10250/TCP                                                                          9h
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-node-sdfk8sc018                      ClusterIP      10.108.79.101    <none>                                       10250/TCP                                                                          8h
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-node-sdfk8sc024                      ClusterIP      10.107.236.25    <none>                                       10250/TCP                                                                          9h
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-node-sdfk8sc029                      ClusterIP      10.97.37.156     <none>                                       10250/TCP                                                                          48d
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-node-sdfk8sc031                      ClusterIP      10.96.28.241     <none>                                       10250/TCP                                                                          33d
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-node-sdfk8sc032                      ClusterIP      10.104.144.0     <none>                                       10250/TCP                                                                          47d
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-node-sdfk8sc035                      ClusterIP      10.98.124.58     <none>                                       10250/TCP                                                                          65d
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-node-sdfk8sc038                      ClusterIP      10.110.153.73    <none>                                       10250/TCP                                                                          34d
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-node-sdfk8sc040                      ClusterIP      10.103.105.108   <none>                                       10250/TCP                                                                          50d
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-node-sdfk8sc043                      ClusterIP      10.97.86.13      <none>                                       10250/TCP                                                                          48d
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-node-sdfk8sc044                      ClusterIP      10.109.162.83    <none>                                       10250/TCP                                                                          34d
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-node-sdfk8sc046                      ClusterIP      10.99.145.239    <none>                                       10250/TCP                                                                          8h
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-node-sdfk8sc048                      ClusterIP      10.107.255.94    <none>                                       10250/TCP                                                                          33d
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-node-sdfk8sc052                      ClusterIP      10.97.4.159      <none>                                       10250/TCP                                                                          51d
vcluster--ad-accel-online-ml               vcluster--ad-accel-online-ml-node-sdfpsc001                       ClusterIP      10.111.251.1     <none>                                       10250/TCP                                                                          35d
vcluster--ad-aosdweb                       gangway                                                           ClusterIP      10.103.194.10    <none>                                       8080/TCP                                                                           266d
vcluster--ad-aosdweb                       kube-dns-x-kube-system-x-vcluster--ad-aosdweb                     ClusterIP      10.110.180.73    <none>                                       53/UDP,53/TCP,9153/TCP                                                             266d
vcluster--ad-aosdweb                       metrics-server-x-kube-system-x-vcluster--ad-aosdweb               ExternalName   <none>           localhost                                    9001/TCP                                                                           217d
vcluster--ad-aosdweb                       vcluster--ad-aosdweb                                              ClusterIP      10.106.250.30    <none>                                       443/TCP,10250/TCP                                                                  266d
vcluster--ad-aosdweb                       vcluster--ad-aosdweb-etcd                                         ClusterIP      10.101.95.31     <none>                                       2379/TCP,2380/TCP                                                                  266d
vcluster--ad-aosdweb                       vcluster--ad-aosdweb-etcd-headless                                ClusterIP      None             <none>                                       2379/TCP,2380/TCP                                                                  266d
vcluster--ad-aosdweb                       vcluster--ad-aosdweb-node-sdfk8sc017                              ClusterIP      10.108.79.75     <none>                                       10250/TCP                                                                          8h
vcluster--ad-aosdweb                       vcluster--ad-aosdweb-node-sdfk8sc040                              ClusterIP      10.98.167.51     <none>                                       10250/TCP                                                                          50d
vcluster--ad-aosdweb                       vcluster--ad-aosdweb-node-sdfk8sc046                              ClusterIP      10.100.145.41    <none>                                       10250/TCP                                                                          51d
vcluster--ad-build-dev                     argocd-application-controller-metrics-x-argocd-x-vcl-5bcae8120d   ClusterIP      10.106.189.7     <none>                                       8082/TCP                                                                           389d
vcluster--ad-build-dev                     argocd-applicationset-controller-x-argocd-x-vcluster-3c500077a8   ClusterIP      10.97.143.82     <none>                                       7000/TCP                                                                           389d
vcluster--ad-build-dev                     argocd-dex-server-x-argocd-x-vcluster--ad-build-dev               ClusterIP      10.100.24.205    <none>                                       5556/TCP,5557/TCP                                                                  389d
vcluster--ad-build-dev                     argocd-redis-x-argocd-x-vcluster--ad-build-dev                    ClusterIP      10.110.41.223    <none>                                       6379/TCP                                                                           389d
vcluster--ad-build-dev                     argocd-repo-server-x-argocd-x-vcluster--ad-build-dev              ClusterIP      10.104.138.202   <none>                                       8081/TCP                                                                           389d
vcluster--ad-build-dev                     argocd-server-x-argocd-x-vcluster--ad-build-dev                   ClusterIP      10.107.182.44    <none>                                       80/TCP,443/TCP                                                                     211d
vcluster--ad-build-dev                     cbs-cluster-rs0-x-core-build-system-x-vcluster--ad-build-dev      ClusterIP      None             <none>                                       27017/TCP                                                                          224d
vcluster--ad-build-dev                     core-build-system-service-x-core-build-system-x-vclu-ed1f61403f   ClusterIP      10.105.233.119   <none>                                       80/TCP                                                                             399d
vcluster--ad-build-dev                     deployment-controller-service-x-core-build-system-x--3254169225   LoadBalancer   10.107.31.13     <pending>                                    80:30149/TCP                                                                       385d
vcluster--ad-build-dev                     gangway                                                           ClusterIP      10.101.229.82    <none>                                       8080/TCP                                                                           406d
vcluster--ad-build-dev                     kube-dns-x-kube-system-x-vcluster--ad-build-dev                   ClusterIP      10.107.4.109     <none>                                       53/UDP,53/TCP,9153/TCP                                                             406d
vcluster--ad-build-dev                     metrics-server-x-kube-system-x-vcluster--ad-build-dev             ExternalName   <none>           localhost                                    9001/TCP                                                                           217d
vcluster--ad-build-dev                     redis-x-core-build-system-x-vcluster--ad-build-dev                ClusterIP      10.101.201.158   <none>                                       6379/TCP                                                                           57d
vcluster--ad-build-dev                     vault-secrets-operator-x-vault-secrets-operator-x-vc-12927b5cf2   ClusterIP      10.110.198.83    <none>                                       8080/TCP,8081/TCP                                                                  400d
vcluster--ad-build-dev                     vcluster--ad-build-dev                                            ClusterIP      10.100.71.53     <none>                                       443/TCP,10250/TCP                                                                  406d
vcluster--ad-build-dev                     vcluster--ad-build-dev-etcd                                       ClusterIP      10.107.45.86     <none>                                       2379/TCP,2380/TCP                                                                  406d
vcluster--ad-build-dev                     vcluster--ad-build-dev-etcd-headless                              ClusterIP      None             <none>                                       2379/TCP,2380/TCP                                                                  406d
vcluster--ad-build-dev                     vcluster--ad-build-dev-node-sdfk8sc006                            ClusterIP      10.106.188.6     <none>                                       10250/TCP                                                                          8h
vcluster--ad-build-dev                     vcluster--ad-build-dev-node-sdfk8sc009                            ClusterIP      10.109.222.242   <none>                                       10250/TCP                                                                          9h
vcluster--ad-build-dev                     vcluster--ad-build-dev-node-sdfk8sc014                            ClusterIP      10.101.23.158    <none>                                       10250/TCP                                                                          9h
vcluster--ad-build-dev                     vcluster--ad-build-dev-node-sdfk8sc016                            ClusterIP      10.103.141.212   <none>                                       10250/TCP                                                                          33d
vcluster--ad-build-dev                     vcluster--ad-build-dev-node-sdfk8sc024                            ClusterIP      10.107.96.202    <none>                                       10250/TCP                                                                          50d
vcluster--ad-build-dev                     vcluster--ad-build-dev-node-sdfk8sc027                            ClusterIP      10.109.13.126    <none>                                       10250/TCP                                                                          34d
vcluster--ad-build-dev                     vcluster--ad-build-dev-node-sdfk8sc029                            ClusterIP      10.109.63.36     <none>                                       10250/TCP                                                                          8h
vcluster--ad-build-dev                     vcluster--ad-build-dev-node-sdfk8sc036                            ClusterIP      10.108.120.0     <none>                                       10250/TCP                                                                          64d
vcluster--ad-build-dev                     vcluster--ad-build-dev-node-sdfk8sc037                            ClusterIP      10.98.127.123    <none>                                       10250/TCP                                                                          34d
vcluster--ad-build-dev                     vcluster--ad-build-dev-node-sdfk8sc038                            ClusterIP      10.105.79.244    <none>                                       10250/TCP                                                                          33d
vcluster--ad-build-dev                     vcluster--ad-build-dev-node-sdfk8sc040                            ClusterIP      10.102.187.240   <none>                                       10250/TCP                                                                          33d
vcluster--ad-build-dev                     vcluster--ad-build-dev-node-sdfk8sc041                            ClusterIP      10.107.141.251   <none>                                       10250/TCP                                                                          64d
vcluster--ad-build-dev                     vcluster--ad-build-dev-node-sdfk8sc044                            ClusterIP      10.96.128.120    <none>                                       10250/TCP                                                                          64d
vcluster--ad-build-dev                     vcluster--ad-build-dev-node-sdfk8sc047                            ClusterIP      10.109.225.178   <none>                                       10250/TCP                                                                          64d
vcluster--ad-build-dev                     vcluster--ad-build-dev-node-sdfk8sc052                            ClusterIP      10.106.38.248    <none>                                       10250/TCP                                                                          33d
vcluster--ad-build                         argocd-application-controller-metrics-x-argocd-x-vcl-3eb6384cd3   ClusterIP      10.109.159.190   <none>                                       8082/TCP                                                                           208d
vcluster--ad-build                         argocd-applicationset-controller-x-argocd-x-vcluster--ad-build    ClusterIP      10.105.213.227   <none>                                       7000/TCP                                                                           208d
vcluster--ad-build                         argocd-dex-server-x-argocd-x-vcluster--ad-build                   ClusterIP      10.107.80.51     <none>                                       5556/TCP,5557/TCP                                                                  208d
vcluster--ad-build                         argocd-redis-x-argocd-x-vcluster--ad-build                        ClusterIP      10.101.29.82     <none>                                       6379/TCP                                                                           208d
vcluster--ad-build                         argocd-repo-server-x-argocd-x-vcluster--ad-build                  ClusterIP      10.101.40.162    <none>                                       8081/TCP                                                                           208d
vcluster--ad-build                         argocd-server-x-argocd-x-vcluster--ad-build                       ClusterIP      10.107.17.31     <none>                                       80/TCP,443/TCP                                                                     208d
vcluster--ad-build                         artifact-api-service-x-core-build-system-x-vcluster--ad-build     ClusterIP      10.105.86.80     <none>                                       8080/TCP                                                                           410d
vcluster--ad-build                         cbs-cluster-rs0-x-core-build-system-x-vcluster--ad-build          ClusterIP      None             <none>                                       27017/TCP                                                                          224d
vcluster--ad-build                         core-build-system-service-x-core-build-system-x-vclu-acf5bdacd2   ClusterIP      10.106.25.109    <none>                                       80/TCP                                                                             330d
vcluster--ad-build                         cvsweb-service-x-cvsweb-x-vcluster--ad-build                      LoadBalancer   10.102.93.124    172.24.8.136                                 80/TCP                                                                             98d
vcluster--ad-build                         deployment-controller-service-x-core-build-system-x--5177d16dba   LoadBalancer   10.105.141.64    134.79.23.199                                80:32660/TCP                                                                       330d
vcluster--ad-build                         gangway                                                           ClusterIP      10.97.143.16     <none>                                       8080/TCP                                                                           615d
vcluster--ad-build                         kube-dns-x-kube-system-x-vcluster--ad-build                       ClusterIP      10.103.140.75    <none>                                       53/UDP,53/TCP,9153/TCP                                                             615d
vcluster--ad-build                         metrics-server-x-kube-system-x-vcluster--ad-build                 ExternalName   <none>           localhost                                    9001/TCP                                                                           217d
vcluster--ad-build                         metrics-service-x-kube-system-x-vcluster--ad-build                ExternalName   <none>           localhost                                    8443/TCP                                                                           419d
vcluster--ad-build                         redis-x-core-build-system-x-vcluster--ad-build                    ClusterIP      10.106.16.170    <none>                                       6379/TCP                                                                           55d
vcluster--ad-build                         vault-secrets-operator-x-vault-secrets-operator-x-vc-ca460ed1e8   ClusterIP      10.102.38.160    <none>                                       8080/TCP,8081/TCP                                                                  410d
vcluster--ad-build                         vcluster--ad-build                                                ClusterIP      10.107.76.125    <none>                                       443/TCP,10250/TCP                                                                  615d
vcluster--ad-build                         vcluster--ad-build-etcd                                           ClusterIP      10.106.212.90    <none>                                       2379/TCP,2380/TCP                                                                  615d
vcluster--ad-build                         vcluster--ad-build-etcd-headless                                  ClusterIP      None             <none>                                       2379/TCP,2380/TCP                                                                  615d
vcluster--ad-build                         vcluster--ad-build-node-sdfk8sc011                                ClusterIP      10.103.106.144   <none>                                       10250/TCP                                                                          9h
vcluster--ad-build                         vcluster--ad-build-node-sdfk8sc021                                ClusterIP      10.102.224.199   <none>                                       10250/TCP                                                                          8h
vcluster--ad-build                         vcluster--ad-build-node-sdfk8sc023                                ClusterIP      10.98.207.36     <none>                                       10250/TCP                                                                          48d
vcluster--ad-build                         vcluster--ad-build-node-sdfk8sc024                                ClusterIP      10.96.228.105    <none>                                       10250/TCP                                                                          48d
vcluster--ad-build                         vcluster--ad-build-node-sdfk8sc025                                ClusterIP      10.98.22.75      <none>                                       10250/TCP                                                                          34d
vcluster--ad-build                         vcluster--ad-build-node-sdfk8sc029                                ClusterIP      10.111.134.137   <none>                                       10250/TCP                                                                          48d
vcluster--ad-build                         vcluster--ad-build-node-sdfk8sc036                                ClusterIP      10.101.66.130    <none>                                       10250/TCP                                                                          64d
vcluster--ad-build                         vcluster--ad-build-node-sdfk8sc038                                ClusterIP      10.107.54.40     <none>                                       10250/TCP                                                                          33d
vcluster--ad-build                         vcluster--ad-build-node-sdfk8sc040                                ClusterIP      10.111.191.100   <none>                                       10250/TCP                                                                          48d
